,year,gender,rank,country_code,name,time,notes
374,2016,men,,ITA,daniele meucci,None,Did not finish
375,2016,men,,ITA,daniele meucci,None,Did not finish
376,2016,men,,UZB,andrey petrov,None,Did not finish
377,2016,men,,UZB,andrey petrov,None,Did not finish
378,2016,men,,MAR,abdelmajid el hissouf,None,Disqualified
379,2016,men,,MAR,abdelmajid el hissouf,None,Disqualified
380,2016,women,G,KEN,jemima jelagat sumgong,2:24:04.00,
381,2016,women,G,KEN,jemima jelagat sumgong,2:24:04.00,
382,2016,women,S,BRN,eunice jepkirui kirwa,2:24:13.00,
383,2016,women,S,BRN,eunice jepkirui kirwa,2:24:13.00,
384,2016,women,B,ETH,mare dibaba,2:24:30.00,
385,2016,women,B,ETH,mare dibaba,2:24:30.00,
386,2016,women,4,ETH,tirfi tsegaye,2:24:47.00,
387,2016,women,4,ETH,tirfi tsegaye,2:24:47.00,
388,2016,women,5,BLR,olga mazuryonok,2:24:48.00,
389,2016,women,5,BLR,olga mazuryonok,2:24:48.00,
390,2016,women,6,USA,shalane flanagan,2:25:26.00,
391,2016,women,6,USA,shalane flanagan,2:25:26.00,
392,2016,women,7,USA,desiree linden,2:26:08.00,
393,2016,women,7,USA,desiree linden,2:26:08.00,
394,2016,women,8,BRN,rose chelimo,2:27:36.00,
395,2016,women,8,BRN,rose chelimo,2:27:36.00,
396,2016,women,9,USA,amy cragg,2:28:25.00,
397,2016,women,9,USA,amy cragg,2:28:25.00,
398,2016,women,10,PRK,hye-song kim,2:28:36.00,
399,2016,women,10,PRK,hye-song kim,2:28:36.00,
400,2016,women,11,PRK,hye-gyong kim,2:28:36.00,
401,2016,women,11,PRK,hye-gyong kim,2:28:36.00,
402,2016,women,12,LAT,jelena prokopcuka,2:29:32.00,
403,2016,women,12,LAT,jelena prokopcuka,2:29:32.00,
404,2016,women,13,ITA,valeria straneo,2:29:44.00,
405,2016,women,13,ITA,valeria straneo,2:29:44.00,
406,2016,women,14,JPN,kayoko fukushi,2:29:53.00,
407,2016,women,14,JPN,kayoko fukushi,2:29:53.00,
408,2016,women,15,PER,gladys tejeda,2:29:55.00,
409,2016,women,15,PER,gladys tejeda,2:29:55.00,
410,2016,women,16,POR,ana dulce felix,2:30:39.00,
411,2016,women,16,POR,ana dulce felix,2:30:39.00,
412,2016,women,17,LTU,diana lobacevske,2:30:48.00,
413,2016,women,17,LTU,diana lobacevske,2:30:48.00,
414,2016,women,18,AUS,milly clark,2:30:53.00,
415,2016,women,18,AUS,milly clark,2:30:53.00,
416,2016,women,19,JPN,tomomi tanaka,2:31:12.00,
417,2016,women,19,JPN,tomomi tanaka,2:31:12.00,
418,2016,women,20,IRL,fionnuala mccormack,2:31:22.00,
419,2016,women,20,IRL,fionnuala mccormack,2:31:22.00,
420,2016,women,21,POL,iwona lewandowska,2:31:41.00,
421,2016,women,21,POL,iwona lewandowska,2:31:41.00,
422,2016,women,22,AUS,jessica trengove,2:31:44.00,
423,2016,women,22,AUS,jessica trengove,2:31:44.00,
424,2016,women,23,POL,monika drybulska,2:32:49.00,
425,2016,women,23,POL,monika drybulska,2:32:49.00,
426,2016,women,24,CAN,lanni marchant,2:33:08.00,
427,2016,women,24,CAN,lanni marchant,2:33:08.00,
428,2016,women,25,ITA,catherine bertone,2:33:29.00,
429,2016,women,25,ITA,catherine bertone,2:33:29.00,
430,2016,women,26,CZE,eva vrabcova - nyvltova,2:33:51.00,
431,2016,women,26,CZE,eva vrabcova - nyvltova,2:33:51.00,
432,2016,women,27,MDA,lilia fisikowici,2:34:05.00,
433,2016,women,27,MDA,lilia fisikowici,2:34:05.00,
434,2016,women,28,GBR,alyson dixon,2:34:11.00,
435,2016,women,28,GBR,alyson dixon,2:34:11.00,
436,2016,women,29,SUI,maja neuenschwander,2:34:27.00,
437,2016,women,29,SUI,maja neuenschwander,2:34:27.00,
438,2016,women,30,GBR,sonia samuels,2:34:36.00,
439,2016,women,30,GBR,sonia samuels,2:34:36.00,
440,2016,women,31,AUS,lisa jane weightman,2:34:41.00,
441,2016,women,31,AUS,lisa jane weightman,2:34:41.00,
442,2016,women,32,MEX,madai perez,2:34:42.00,
443,2016,women,32,MEX,madai perez,2:34:42.00,
444,2016,women,33,UKR,olha kotovska,2:34:57.00,
445,2016,women,33,UKR,olha kotovska,2:34:57.00,
446,2016,women,34,ESP,azucena diaz,2:35:02.00,
447,2016,women,34,ESP,azucena diaz,2:35:02.00,
448,2016,women,35,CAN,krista duchene,2:35:29.00,
449,2016,women,35,CAN,krista duchene,2:35:29.00,
450,2016,women,36,PER,jovana de la cruz,2:35:49.00,
451,2016,women,36,PER,jovana de la cruz,2:35:49.00,
452,2016,women,37,LTU,rasa drazdauskaite,2:35:50.00,
453,2016,women,37,LTU,rasa drazdauskaite,2:35:50.00,
454,2016,women,38,LTU,vaida zusinaite,2:35:53.00,
455,2016,women,38,LTU,vaida zusinaite,2:35:53.00,
456,2016,women,39,HKG,kit-ching yiu,2:36:11.00,
457,2016,women,39,HKG,kit-ching yiu,2:36:11.00,
458,2016,women,40,DEN,jessica draskau-petersson,2:36:14.00,
459,2016,women,40,DEN,jessica draskau-petersson,2:36:14.00,
460,2016,women,41,NAM,beata naigambo,2:36:32.00,
461,2016,women,41,NAM,beata naigambo,2:36:32.00,
